,,,,,,,,Final,FY22 Version,,,,,,,
713,1000-0000-2213-52300-030,,Stipend,Retirement - PES,,0.00,0.00,,0.00,0.00,0.00,0.00,208.38,208.38,100.00%,1
,,,,,Totals,0.00,0.00,,0.00,0.00,0.00,0.00,"5,300.20","5,300.20",100.00%,1
,,,,,2019,2019,,2020,2020,2021,2021,2022,,,,
,,,,,Total,Budget Total Activity,,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff,Notes
714,,Cost Center:,040 - MAST,LANDING,,,,,,,,,,,,1
715,1000-0000-2213-51500-040,,Stipends,,,0.00,0.00,,0.00,0.00,0.00,0.00,"9,868.32","9,868.32",100.00%,1
716,1000-0000-2213-52000-040,,Stipend,Benefits - MLS,,0.00,0.00,,0.00,0.00,0.00,0.00,162.82,162.82,100.00%,1
717,1000-0000-2213-52300-040,,Stipend,Retirement - MLS,,0.00,0.00,,0.00,0.00,0.00,0.00,410.54,410.54,100.00%,1
,,,,,Totals,0.00,0.00,,0.00,0.00,0.00,0.00,"10,441.68","10,441.68",100.00%,1
718,,Cost Center:,050 - FREEPORT,MIDDLE,SCHOOL,,,,,,,,,,,
719,1000-0000-2213-51500-050,,Stipends -,FMS,,0.00,0.00,,0.00,0.00,0.00,0.00,"19,211.64","19,211.64",100.00%,1
720,1000-0000-2213-52000-050,,Stipend,Benefits - FMS,,0.00,0.00,,0.00,0.00,0.00,0.00,316.98,316.98,100.00%,1
721,1000-0000-2213-52300-050,,Stipend,Retirement - FMS,,0.00,0.00,,0.00,0.00,0.00,0.00,799.22,799.22,100.00%,1
,,,,,Totals,0.00,0.00,,0.00,0.00,0.00,0.00,"20,327.84","20,327.84",100.00%,1
722,,Cost Center:,300 - FREEPORT,HIGH SCHOOL,,,,,,,,,,,,
723,1000-0000-2213-51010-300,,9-12,HONORARIUM,,"3,405.00","4,822.50",,"3,405.00","1,632.72","3,650.00",0.00,"3,650.00",0.00,0.00%,
724,1000-0000-2213-51500-300,,Stipends,,,"46,169.00","26,075.48",,"57,434.00","19,716.82","57,434.00","15,171.56","26,288.94","-31,145.06",-54.23%,1
725,1000-0000-2213-52000-300,,Stipend,Benefits - FHS,,"2,308.00",733.00,,"2,872.00","3,179.32","2,872.00",0.38,433.73,"-2,438.27",-84.90%,
726,1000-0000-2213-52010-300,,9-12,HONORARIUM BENEFITS,,170.00,416.50,,170.00,169.88,183.00,0.00,183.00,0.00,0.00%,
727,1000-0000-2213-52300-300,,Stipend,Retirement - FHS,,"1,833.00",0.00,,"2,389.00",650.20,"2,389.00",0.00,"1,292.10","-1,096.90",-45.91%,
728,1000-0000-2213-52310-300,,9-12,HONORARIUM,RETIREMENT,135.00,98.48,,142.00,73.85,152.00,0.00,152.00,0.00,0.00%,
729,1000-0000-2213-52510-300,,Tuition,Reimbursement-Teacher,,"11,000.00","27,025.00",,"20,000.00","16,336.50","20,000.00","2,409.50","20,000.00",0.00,0.00%,
730,1000-0000-2213-52520-300,,Tuition,Reimbursement-Support,,"1,000.00",0.00,,"1,300.00",0.00,"1,300.00",0.00,"1,300.00",0.00,0.00%,
731,1000-0000-2213-53000-300,,Purchased,Professional,Services,"37,000.00","14,453.82",,"37,000.00","20,298.79","43,000.00","6,194.00","37,000.00","-6,000.00",-13.95%,
732,1000-0000-2213-55810-300,,Travel,,,400.00,592.49,,600.00,"1,185.81","1,000.00",0.00,"1,000.00",0.00,0.00%,
733,1000-0000-2213-56000-300,,Supplies,,,0.00,70.20,,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,
,,,,,Totals,"103,420.00","74,287.47",,"125,312.00","63,243.89","131,980.00","23,775.44","91,299.77","-40,680.23",-30.82%,
734,,Cost Center:,950 - K-8,,,,,,,,,,,,,
735,1000-0000-2213-51010-950,,K-8 HONORARIUM,,,"15,000.00","19,116.00",,"15,000.00","5,049.52","15,000.00",39.92,"15,000.00",0.00,0.00%,
736,1000-0000-2213-51230-950,,Substitutes,,,"5,000.00",0.00,,"5,000.00",0.00,"5,000.00",0.00,"5,000.00",0.00,0.00%,
737,1000-0000-2213-51500-950,,Stipends,,,"81,470.00","76,956.57",,"99,562.00","103,090.45","81,274.00","55,999.99","70,781.12","-10,492.88",-12.91%,1
738,1000-0000-2213-52000-950,,Stipend,Benefits - K-8,,"4,074.00",455.47,,"4,978.00",565.46,"4,064.00",35.66,"1,167.67","-2,896.33",-71.27%,1
739,1000-0000-2213-52010-950,,K-8 HONORARIUM,BENEFITS,,750.00,"2,228.58",,750.00,"1,863.98",750.00,0.00,750.00,0.00,0.00%,
740,1000-0000-2213-52030-950,,Sub Benefits,,,250.00,0.00,,250.00,0.00,250.00,0.00,250.00,0.00,0.00%,
741,1000-0000-2213-52300-950,,Stipend,Retirement - K-8,,"3,234.00",12.96,,"4,142.00",20.37,"3,381.00",4.99,"2,746.19",-634.81,-18.78%,
742,1000-0000-2213-52310-950,,K-8 HONORARIUM,,RETIREMENT,596.00,399.46,,624.00,204.77,624.00,0.00,624.00,0.00,0.00%,
743,1000-0000-2213-52330-950,,Retirement,,,485.00,0.00,,208.00,0.00,208.00,0.00,208.00,0.00,0.00%,
744,1000-0000-2213-52510-950,,Tuition,Reimbursement-Prof,,"32,000.00","58,655.00",,"40,000.00","54,273.65","47,500.00","19,150.00","47,500.00",0.00,0.00%,
745,1000-0000-2213-52520-950,,Tuition,Reimbursement-Support,,"2,500.00","2,316.00",,"2,700.00","2,388.00","2,700.00",993.60,"2,700.00",0.00,0.00%,
746,1000-0000-2213-53000-950,,K-8 Purchased,Professional,,"61,500.00","46,970.25",,"36,340.00","12,433.05","36,340.00","1,534.30","61,340.00","25,000.00",68.79%,
747,1000-0000-2213-55810-950,,Travel,,,500.00,0.00,,500.00,168.05,250.00,-168.12,250.00,0.00,0.00%,
748,1000-0000-2213-56000-950,,Supplies,,,"1,800.00",0.00,,"1,800.00",0.00,"1,800.00",0.00,"1,800.00",0.00,0.00%,
749,1000-0000-2213-56400-950,,Books,,,"1,400.00",789.69,,"1,400.00",0.00,"1,400.00",0.00,"1,400.00",0.00,0.00%,
,,,,,Totals,"210,559.00","207,899.98",,"213,254.00","180,057.30","200,541.00","77,590.34","211,516.98","10,975.98",5.47%,
750,Function: 2220 -,LIBRARY,SERVICES,,,,,,,,,,,,,
751,,Cost Center:,010 - DURHAM,COMMUNITY,,,,,,,,,,,,
752,1000-0000-2220-51010-010,,Librarian,Salary,,"59,997.00","63,567.35",,"67,195.00","66,475.02","69,201.00","90,198.07","71,255.06","2,054.06",2.97%,
753,1000-0000-2220-51020-010,,Ed Tech,Salaries,,0.00,0.00,,0.00,0.00,"10,698.00",0.00,"12,475.68","1,777.68",16.62%,
754,1000-0000-2220-52010-010,,Librarian,Benefits,,"24,999.00","21,379.31",,"21,528.00","21,005.67","21,672.00","4,811.91","21,430.59",-241.41,-1.11%,
755,1000-0000-2220-52020-010,,Ed Tech,Salaries,,0.00,0.00,,0.00,0.00,"4,642.00",1.26,"4,925.84",283.84,6.11%,
756,1000-0000-2220-52310-010,,Retirement,,,"2,382.00","2,494.22",,"2,795.00","2,745.34","2,894.00",652.80,"2,964.21",70.21,2.43%,
757,1000-0000-2220-52320-010,,Ed Tech,Retirement,,0.00,0.00,,0.00,0.00,465.00,0.00,518.99,53.99,11.61%,
758,1000-0000-2220-54330-010,,Software,,,"1,100.00","1,042.00",,"1,043.00","1,042.50","1,043.00","1,042.50","1,043.00",0.00,0.00%,
759,1000-0000-2220-56000-010,,Supplies,,,0.00,0.00,,0.00,0.00,"1,300.00",331.94,"1,300.00",0.00,0.00%,
760,1000-0000-2220-56100-010,,Supplies,,,"1,300.00","1,319.11",,"1,300.00","1,511.42",0.00,146.00,0.00,0.00,0.00%,
761,1000-0000-2220-56400-010,,Books,,,"8,590.00","8,582.54",,"8,733.00","8,539.73","9,082.00","4,781.49","9,286.50",204.50,2.25%,
,,,,,Totals,"98,368.00","98,384.53",,"102,594.00","101,319.68","120,997.00","101,965.97","125,199.87","4,202.87",3.47%,
,,,,,2019,2019,,2020,2020,2021,2021,2022,,,,
,,,,,Total,Budget Total Activity,,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff,Notes
762,,Cost Center:,020 - MORSE,STREET,,,,,,,,,,,,
763,1000-0000-2220-51010-020,,Librarian,Salary,,"31,266.00","35,315.57",,"36,653.00","36,859.24","27,502.00","51,715.11","31,164.43","3,662.43",13.32%,
764,1000-0000-2220-51020-020,,Ed Tech,Salaries,,"11,153.00","13,167.31",,"11,720.00","11,807.59","16,047.00","15,064.73","16,537.52",490.52,3.06%,
,,,,,,,,,15 of 24,,,,,,,
